㚧	yǎn
㚨	shěn
㚩	rǎn
㚪	hào
㚫	sà
㚬	jūn
㚭	yóu
㚯	xín
㚰	pēi.bǐ
㚱	qiū
㚲	chān.diǎn.diàn
㚴	bù
㚵	dōng
㚶	sì.yí
㚷	ěr
㚹	mǎo.liǔ
㚺	yùn
㚻	jī
㚽	qiǎo
㚾	xiōng
㚿	páo
㛀	chú
㛁	pēng
㛂	nuǒ
㛃	jié
㛄	yī
㛅	èr
㛆	duò.duǒ
㛊	duǒ
㛍	qiè.xiǎn.xiá
㛎	lǚ
㛏	qiú
㛐	sǒu
㛑	càn
㛒	dòu
㛓	xī
㛔	fēng.péng
㛕	yì.è
㛖	suō
㛗	qiē.zuō.suō
㛘	pò
㛙	xīn.qiè
㛚	tǒng.yǒng
㛛	xìn
㛜	yóu
㛝	bèi
㛞	lòng
㛣	yún
㛤	lí
㛥	tà
㛦	lǎn
㛧	mǎn
㛨	qiǎng
㛩	zhóu
㛪	yàn.yān
㛫	xī
㛬	lù
㛭	xī
㛮	sǎo
㛯	fàn.miǎn.zhuàn
㛱	wěi.wēi
㛲	fà
㛳	yì
㛴	nǎo
㛵	chēng
㛶	tàn
㛷	jī
㛸	shù
㛹	pián
㛺	ān
㛻	kuā
㛼	chā.shà
㛾	xián
㛿	zhì
㜂	fēng
㜃	liàn
㜄	xún
㜅	xù
㜆	mì
㜇	huì.yè
㜈	mù
㜉	yōng
㜊	zhǎn
㜋	yì
㜌	nǒu.gòu.kòu
㜍	táng
㜎	xī.xì
㜏	yún
㜐	shù
㜑	fú
㜒	yì
㜓	dá
㜕	lián
㜖	cáo
㜗	cān.sēn
㜘	jù.qù.chá
㜙	lù
㜚	sù
㜛	nèn
㜜	ào
㜝	ǎn.yǎn
㜞	qiàn.cán
㜠	cuī
㜡	cōng
㜣	rán.rǎn
㜤	niǎn.tiǎn.tán
㜥	mái
㜦	xín
㜧	yuè
㜨	nái
㜩	ào
㜪	shēn
㜫	mà
㜮	làn.lán
㜯	xī
㜰	yuè
㜱	zhì
㜲	wěng
㜳	huái
㜴	mèng
㜵	niǎo
㜶	wǎn
㜷	mí.xiǎn
㜸	niè
㜹	qú
㜺	zàn
㜻	liàn
㜼	zhí
㜽	zǐ
㜾	hái
㜿	xù
㝀	hào
㝁	xuān.qióng
㝂	zhì.zhè
㝃	miǎn
㝄	chún
㝅	gòu
㝇	chún
㝈	luán
㝉	zhù
㝊	shǒu
㝋	liǎo
㝌	jiù
㝍	xiě
㝎	dìng
㝏	jiè
㝐	róng
㝑	máng
㝓	kè
㝔	yǎo
㝕	níng
㝖	yí
㝗	láng.lǎng
㝘	yóng
㝙	yín
㝚	yán
㝛	sù
㝝	lín
㝞	yā.yà
㝟	máo
㝠	míng
㝡	zuì
㝢	yǔ
㝣	yì
㝤	gòu
㝥	mǐ
㝦	jùn
㝧	wěn
㝩	kāng
㝪	diàn
㝫	lóng
㝭	xǐng
㝮	cuì
㝯	qiáo
㝰	mián
㝱	mèng
㝲	qǐn
㝴	wán
㝵	dé.ài
㝶	ài
㝸	biàn
㝹	nóu
㝺	lián
㝻	jǐn
㝼	yū
㝽	chuí
㝾	zuǒ
㝿	bǒ
㞀	huī
㞁	yào
㞂	tuǐ.tuì
㞃	jì
㞄	ān
㞅	luò
㞆	jǐ
㞇	wěi
㞈	bō
㞉	zā
㞊	xù
㞋	niǎn.jí
㞌	yùn
㞎	bǎ.pā.pá
㞏	zhé.jié
㞐	jū
㞑	wěi
㞒	xiè.xì
㞓	qì.jī
㞔	yí
㞕	xiè
㞖	cí.cì
㞗	qiú
㞘	dū
㞙	niào
㞚	qì.zhǎ
㞛	jǐ
㞜	tuī
㞞	sóng
㞟	diàn.dǐng
㞠	láo
㞡	zhǎn
㞤	yín.cén
㞥	cén
㞦	jǐ
㞧	huì
㞨	zǐ
㞩	lán
㞪	náo
㞫	jù
㞬	qìn
㞭	dài
㞯	jié
㞰	xǔ
㞱	cōng
㞲	yòng
㞳	dǒu
㞴	chí.mín
㞶	mǐn
㞷	huáng
㞸	suì
㞹	kě
㞺	zú
㞻	hào
㞼	chéng
㞽	xuè
㞾	ní
㞿	chì
㟀	lián
㟁	àn
㟂	mǔ
㟃	sī
㟄	xiáng
㟅	yáng
㟆	huá
㟇	cuò.cuó
㟈	qiú
㟉	láo
㟊	fú
㟋	duì
㟌	máng
㟍	láng.lǎng
㟎	tuǒ.tuǐ
㟏	hán
㟐	mǎng
㟑	bó
㟒	qūn
㟓	qí
㟔	hán
㟖	lòng.lóng
㟘	tiáo
㟙	zé
㟚	qí
㟛	zàn
㟜	mí
㟝	péi
㟞	zhàn
㟟	xiàng
㟠	gǎng
㟢	qí
㟤	lù
㟦	yùn
㟧	è
㟨	duān
㟩	mín
㟪	wēi.wěi
㟫	quán
㟬	sǒu
㟭	mín
㟮	tū
㟰	mǐng
㟱	yǎo
㟲	jué
㟳	lì
㟴	kuài
㟵	gǎng
㟶	yuán
㟷	dá
㟹	láo
㟺	lóu
㟻	qiàn.zhǎn
㟼	áo
㟽	biǎo.biāo
㟾	yōng
㟿	mǎng.máng
㠀	dǎo
㠂	áo
㠄	xí
㠅	fú.fù
㠆	dān
㠇	jiù
㠈	rùn
㠉	tóng
㠊	qū
㠋	è
㠌	qī
㠍	jí
㠎	jí.jié
㠏	huá
㠐	jiào
㠑	zuì
㠒	biǎo
㠓	méng
㠔	bài
㠕	wěi
㠖	yǐ
㠗	ào
㠘	yǔ
㠙	háo
㠚	duì
㠛	wò
㠜	nì
㠝	cuán
㠟	lí
㠠	lú
㠡	niǎo
㠢	huái
㠣	lì
㠥	lǜ.léi.lěi
㠦	fēng
㠧	mǐ
㠨	yù
㠪	jù
㠭	zhǎn
㠮	pēng.gāng
㠯	yǐ
㠱	jì.qǐ
㠲	bǐ
㠴	rèn
㠵	huāng
㠶	fán
㠷	gé
㠸	kù
㠹	jiè
㠺	shā.miáo
㠼	sī
㠽	tóng
㠾	yuān
㠿	zī.cǐ
㡀	bì
㡁	kuǎ
㡂	lì
㡃	huāng
㡄	xún
㡅	nuǒ
㡇	zhé.jiē
㡈	wèn.mén.miǎn
㡉	xián
㡊	qià
㡋	yé.ān
㡌	mào
㡏	shù.xū.tóu.shū
㡑	jiǎo.qiāo
㡒	zhūn
㡓	kūn
㡔	wù
㡕	yīng
㡖	chuáng
㡗	tí
㡘	lián.lín
㡙	bī
㡚	gōu
㡛	máng
㡜	xiè.xuě
㡝	fèng
㡞	lóu.lǚ
㡟	zāo
㡠	zhèng
㡡	chú
㡢	màn
㡣	lóng
㡥	yìn
㡦	pīn
㡧	zhèng
㡨	jiān.qiān
㡩	luán
㡪	nié
㡫	yì
㡭	jì
㡮	jí
㡯	zhái.dù.duó
㡰	yǔ
㡱	jiǔ
㡲	huán
㡳	zhǐ
㡴	lā
㡵	líng
㡶	zhǐ
㡷	běn
㡸	zhà.zhǎ.chá
㡹	jū
㡺	dàn
㡻	liào
㡼	yì
㡽	zhào
㡾	xiàn
㡿	chì
㢀	cì
㢁	chǐ.shǐ
㢂	yǎn.tuí.duī
㢃	láng
㢄	dòu
㢅	lòng
㢆	chán
㢈	tuí.duī
㢉	chá
㢊	ǎi.yǐ
㢋	chǐ
㢍	yǐng
㢎	zhé
㢏	tóu.yǔ.yú
㢑	tuí
㢒	chá
㢓	yǎo
㢔	zǒng
㢖	pān.bān
㢗	qiào
㢘	lián
㢙	qín
㢚	lǔ
㢛	yàn.qiān
㢜	kàng
㢝	sū
㢞	yì
㢟	chān
㢠	jiǒng
㢡	jiǎng
㢣	jìng
㢥	dòng
㢧	juàn
㢨	hàn
㢩	dì
㢬	hóng
㢮	chí
㢯	diāo.mín
㢰	bì
㢲	xùn
㢳	lú
㢵	xié.shè
㢶	bì
㢸	bì
㢺	xián
㢻	ruì
